Wed Jul 13 16:41:56 2022    output.dat

         3523631 function calls (3518926 primitive calls) in 25.466 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\function_base.py:4800(_meshgrid_dispatcher)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\function_base.py:4936(<listcomp>)
       59    0.000    0.000    0.003    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\numpy\lib\function_base.py:4805(meshgrid)
       59    0.000    0.000    0.003    0.000 <__array_function__ internals>:177(meshgrid)
       59    0.000    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:294(maxarray)
       59    0.000    0.000    0.005    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:581(_world_array)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:664(__init__)
       59    0.003    0.000    0.007    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:779(add_edges)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:897(set_heuristic)
       59    0.001    0.000    0.001    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:955(_compile_rules)
       59    0.000    0.000    0.002    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:978(_resolve)
       59    0.000    0.000    0.008    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1025(__init__)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1056(set_heuristic)
       59    0.000    0.000    0.002    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1069(_resolve)
       59    0.000    0.000    0.008    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1082(__init__)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1164(add_root)
       59    0.000    0.000    0.003    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1215(resolve)
       59    0.000    0.000    0.004    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1273(path_from)
       59    0.000    0.000    0.004    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\path.py:1325(path_to)
       59    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_frontier_push}
       59    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_frontier_new}
       59    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.update_frontier_heuristic}
       59    0.001    0.000    0.001    0.000 {built-in method tcod._libtcod.path_compute}
       59    0.003    0.000    0.024    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\ai.py:19(get_path_to)
       59    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\ai.py:47(<listcomp>)
       59    0.000    0.000    0.000    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
       59    0.000    0.000    0.000    0.000 {method 'tolist' of 'numpy.ndarray' objects}
       59    0.001    0.000    0.001    0.000 {built-in method numpy.ascontiguousarray}
       59    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
       59    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       59    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       58    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\random.py:408(<listcomp>)
       58    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\random.py:386(choices)
       58    0.000    0.000    0.000    0.000 {built-in method _bisect.bisect_right}
       29    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:55(defence)
       28    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_gen_tools.py:40(centre)
       27    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:323(__init__)
     27/1    0.000    0.000    0.008    0.008 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:374(createRooms)
       22    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\copyreg.py:99(_slotnames)
       22    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       16    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\random.py:285(choice)
       16    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:82(__init__)
       16    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:97(perform)
       16    0.000    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:116(attack)
       16    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:335(splitLeaf)
       15    0.000    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:131(deal_damage)
       14    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:203(height)
       14    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_console_get_height}
       14    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\actions.py:71(target_actor)
       14    0.001    0.000    0.003    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:120(createRoom)
       14    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_gen_tools.py:34(__init__)
       14    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\game_map.py:78(get_actor_at_location)
       14    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       13    0.003    0.000    0.004    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:127(createHall)
       13    0.001    0.000    0.008    0.001 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\level_generator.py:203(place_entities)
       12    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\console.py:198(width)
       12    0.000    0.000    0.000    0.000 {built-in method tcod._libtcod.TCOD_console_get_width}
       10    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\message_log.py:27(add_message)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\pathlib.py:702(__str__)
        8    0.000    0.000    0.000    0.000 C:\Program Files\Python38\lib\pathlib.py:712(__fspath__)
        8    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\entity.py:22(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
        7    0.000    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:59(hp)
        7    0.000    0.000    0.001    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:85(die)
        7    0.000    0.000    0.000    0.000 {built-in method math.floor}
        7    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        6    0.000    0.000    0.000    0.000 C:\Users\Jules\AppData\Roaming\Python\Python38\site-packages\tcod\libtcodpy.py:66(BKGND_ALPHA)
        6    0.000    0.000    0.000    0.000 C:\Users\Jules\PycharmProjects\Age_of_Aquarius\components\bodyparts.py:23(__init__)
